lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,fomc_rate,previous_fomc_rate,fomc_change,fomc_decision,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text
FOMC_GOLD_2021-03-31,fomc_gold_v1,FOMC,2021-03-31,2021-03-31,first_gold_session_on_or_after_event_date,1967.0,3.2,4.19,-0.99,rate_cut,1968.0,0.050839,FLAT,1974.0,0.355872,UP,2003.5,1.855618,UP,20,"After the FOMC set rates at 3.2% (rate_cut) on 2021-03-31, gold moved 1.855618% over 20 trading days (UP)."
FOMC_GOLD_2021-04-30,fomc_gold_v1,FOMC,2021-04-30,2021-04-30,first_gold_session_on_or_after_event_date,2009.5,1.21,3.2,-1.99,rate_cut,2012.0,0.124409,UP,2019.5,0.497636,UP,2050.0,2.015427,UP,20,"After the FOMC set rates at 1.21% (rate_cut) on 2021-04-30, gold moved 2.015427% over 20 trading days (UP)."
FOMC_GOLD_2021-05-31,fomc_gold_v1,FOMC,2021-05-31,2021-05-31,first_gold_session_on_or_after_event_date,2050.0,3.05,1.21,1.84,rate_hike,2054.0,0.195122,UP,2062.0,0.585366,UP,2087.5,1.829268,UP,20,"After the FOMC set rates at 3.05% (rate_hike) on 2021-05-31, gold moved 1.829268% over 20 trading days (UP)."
FOMC_GOLD_2021-06-30,fomc_gold_v1,FOMC,2021-06-30,2021-06-30,first_gold_session_on_or_after_event_date,2089.5,1.06,3.05,-1.99,rate_cut,2090.5,0.047858,FLAT,2102.0,0.598229,UP,2118.0,1.363963,UP,20,"After the FOMC set rates at 1.06% (rate_cut) on 2021-06-30, gold moved 1.363963% over 20 trading days (UP)."
FOMC_GOLD_2021-07-31,fomc_gold_v1,FOMC,2021-07-31,2021-08-02,first_gold_session_on_or_after_event_date,2123.5,3.82,1.06,2.76,rate_hike,2126.5,0.141276,UP,2135.5,0.565105,UP,2160.5,1.742406,UP,20,"After the FOMC set rates at 3.82% (rate_hike) on 2021-07-31, gold moved 1.742406% over 20 trading days (UP)."
FOMC_GOLD_2021-08-31,fomc_gold_v1,FOMC,2021-08-31,2021-08-31,first_gold_session_on_or_after_event_date,2160.0,2.43,3.82,-1.39,rate_cut,2163.5,0.162037,UP,2169.0,0.416667,UP,2197.0,1.712963,UP,20,"After the FOMC set rates at 2.43% (rate_cut) on 2021-08-31, gold moved 1.712963% over 20 trading days (UP)."
FOMC_GOLD_2021-09-30,fomc_gold_v1,FOMC,2021-09-30,2021-09-30,first_gold_session_on_or_after_event_date,2200.0,2.22,2.43,-0.21,rate_cut,2202.0,0.090909,FLAT,2207.0,0.318182,UP,2226.5,1.204545,UP,20,"After the FOMC set rates at 2.22% (rate_cut) on 2021-09-30, gold moved 1.204545% over 20 trading days (UP)."
FOMC_GOLD_2021-10-31,fomc_gold_v1,FOMC,2021-10-31,2021-11-01,first_gold_session_on_or_after_event_date,2230.5,1.48,2.22,-0.74,rate_cut,2233.0,0.112082,UP,2242.5,0.537996,UP,2276.0,2.039901,UP,20,"After the FOMC set rates at 1.48% (rate_cut) on 2021-10-31, gold moved 2.039901% over 20 trading days (UP)."
FOMC_GOLD_2021-11-30,fomc_gold_v1,FOMC,2021-11-30,2021-11-30,first_gold_session_on_or_after_event_date,2279.0,4.33,1.48,2.85,rate_hike,2282.5,0.153576,UP,2285.5,0.285213,UP,2303.5,1.075033,UP,20,"After the FOMC set rates at 4.33% (rate_hike) on 2021-11-30, gold moved 1.075033% over 20 trading days (UP)."
FOMC_GOLD_2021-12-31,fomc_gold_v1,FOMC,2021-12-31,2021-12-31,first_gold_session_on_or_after_event_date,2307.0,2.27,4.33,-2.06,rate_cut,2311.0,0.173385,UP,2317.5,0.455137,UP,2343.0,1.560468,UP,20,"After the FOMC set rates at 2.27% (rate_cut) on 2021-12-31, gold moved 1.560468% over 20 trading days (UP)."
