lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,release_timestamp,cpi_value,previous_cpi_value,cpi_change_pct,cpi_pressure,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text
CPI_GOLD_2020-05-01,cpi_gold_v1,CPI,2020-05-01,2020-06-10,first_gold_session_on_or_after_release_timestamp,1612.5,2020-06-10T08:30:00,255.802,256.032,-0.089833,inflation_pressure_down,1613.0,0.031008,FLAT,1617.5,0.310078,UP,1642.0,1.829457,UP,20,"After CPI changed by -0.089833% on 2020-05-01, gold moved 1.829457% over 20 trading days (UP)."
CPI_GOLD_2020-06-01,cpi_gold_v1,CPI,2020-06-01,2020-07-08,first_gold_session_on_or_after_release_timestamp,1642.0,2020-07-08T08:30:00,257.042,255.802,0.48475,inflation_pressure_up,1646.0,0.243605,UP,1655.5,0.822168,UP,1676.5,2.101096,UP,20,"After CPI changed by 0.48475% on 2020-06-01, gold moved 2.101096% over 20 trading days (UP)."
CPI_GOLD_2020-07-01,cpi_gold_v1,CPI,2020-07-01,2020-08-12,first_gold_session_on_or_after_release_timestamp,1684.0,2020-08-12T08:30:00,258.352,257.042,0.509644,inflation_pressure_up,1685.5,0.089074,FLAT,1690.5,0.385986,UP,1720.0,2.137767,UP,20,"After CPI changed by 0.509644% on 2020-07-01, gold moved 2.137767% over 20 trading days (UP)."
CPI_GOLD_2020-08-01,cpi_gold_v1,CPI,2020-08-01,2020-09-09,first_gold_session_on_or_after_release_timestamp,1720.0,2020-09-09T08:30:00,259.316,258.352,0.373134,inflation_pressure_up,1722.5,0.145349,UP,1730.0,0.581395,UP,1760.0,2.325581,UP,20,"After CPI changed by 0.373134% on 2020-08-01, gold moved 2.325581% over 20 trading days (UP)."
CPI_GOLD_2020-09-01,cpi_gold_v1,CPI,2020-09-01,2020-10-14,first_gold_session_on_or_after_release_timestamp,1767.0,2020-10-14T08:30:00,259.997,259.316,0.262614,inflation_pressure_up,1766.5,-0.028297,FLAT,1771.5,0.254669,UP,1791.0,1.358234,UP,20,"After CPI changed by 0.262614% on 2020-09-01, gold moved 1.358234% over 20 trading days (UP)."
CPI_GOLD_2020-10-01,cpi_gold_v1,CPI,2020-10-01,2020-11-11,first_gold_session_on_or_after_release_timestamp,1791.0,2020-11-11T08:30:00,260.319,259.997,0.123848,inflation_pressure_up,1794.5,0.195422,UP,1798.5,0.41876,UP,1818.0,1.507538,UP,20,"After CPI changed by 0.123848% on 2020-10-01, gold moved 1.507538% over 20 trading days (UP)."
CPI_GOLD_2020-11-01,cpi_gold_v1,CPI,2020-11-01,2020-12-09,first_gold_session_on_or_after_release_timestamp,1818.0,2020-12-09T08:30:00,260.911,260.319,0.227413,inflation_pressure_up,1821.5,0.192519,UP,1827.0,0.49505,UP,1856.0,2.090209,UP,20,"After CPI changed by 0.227413% on 2020-11-01, gold moved 2.090209% over 20 trading days (UP)."
CPI_GOLD_2020-12-01,cpi_gold_v1,CPI,2020-12-01,2021-01-13,first_gold_session_on_or_after_release_timestamp,1867.5,2021-01-13T08:30:00,262.045,260.911,0.434631,inflation_pressure_up,1871.5,0.21419,UP,1877.5,0.535475,UP,1902.5,1.874163,UP,20,"After CPI changed by 0.434631% on 2020-12-01, gold moved 1.874163% over 20 trading days (UP)."
CPI_GOLD_2021-01-01,cpi_gold_v1,CPI,2021-01-01,2021-02-10,first_gold_session_on_or_after_release_timestamp,1902.5,2021-02-10T08:30:00,262.687,262.045,0.244996,inflation_pressure_up,1906.5,0.21025,UP,1915.5,0.683311,UP,1943.0,2.128778,UP,20,"After CPI changed by 0.244996% on 2021-01-01, gold moved 2.128778% over 20 trading days (UP)."
CPI_GOLD_2021-02-01,cpi_gold_v1,CPI,2021-02-01,2021-03-10,first_gold_session_on_or_after_release_timestamp,1943.0,2021-03-10T08:30:00,263.579,262.687,0.339568,inflation_pressure_up,1943.5,0.025733,FLAT,1951.0,0.411734,UP,1974.0,1.595471,UP,20,"After CPI changed by 0.339568% on 2021-02-01, gold moved 1.595471% over 20 trading days (UP)."
CPI_GOLD_2021-03-01,cpi_gold_v1,CPI,2021-03-01,2021-04-14,first_gold_session_on_or_after_release_timestamp,1984.0,2021-04-14T08:30:00,264.961,263.579,0.524321,inflation_pressure_up,1987.0,0.15121,UP,1994.5,0.529234,UP,2029.5,2.293347,UP,20,"After CPI changed by 0.524321% on 2021-03-01, gold moved 2.293347% over 20 trading days (UP)."
CPI_GOLD_2021-04-01,cpi_gold_v1,CPI,2021-04-01,2021-05-12,first_gold_session_on_or_after_release_timestamp,2029.5,2021-05-12T08:30:00,266.614,264.961,0.623865,inflation_pressure_up,2030.5,0.049273,FLAT,2041.0,0.566642,UP,2066.0,1.798473,UP,20,"After CPI changed by 0.623865% on 2021-04-01, gold moved 1.798473% over 20 trading days (UP)."
CPI_GOLD_2021-05-01,cpi_gold_v1,CPI,2021-05-01,2021-06-09,first_gold_session_on_or_after_release_timestamp,2066.0,2021-06-09T08:30:00,268.383,266.614,0.663506,inflation_pressure_up,2066.0,0.0,FLAT,2072.5,0.314618,UP,2102.0,1.742498,UP,20,"After CPI changed by 0.663506% on 2021-05-01, gold moved 1.742498% over 20 trading days (UP)."
CPI_GOLD_2021-06-01,cpi_gold_v1,CPI,2021-06-01,2021-07-14,first_gold_session_on_or_after_release_timestamp,2106.5,2021-07-14T08:30:00,270.654,268.383,0.846179,inflation_pressure_up,2109.0,0.11868,UP,2111.0,0.213624,UP,2141.0,1.637788,UP,20,"After CPI changed by 0.846179% on 2021-06-01, gold moved 1.637788% over 20 trading days (UP)."
CPI_GOLD_2021-07-01,cpi_gold_v1,CPI,2021-07-01,2021-08-11,first_gold_session_on_or_after_release_timestamp,2141.0,2021-08-11T08:30:00,271.903,270.654,0.461475,inflation_pressure_up,2140.5,-0.023354,FLAT,2148.0,0.32695,UP,2172.5,1.471275,UP,20,"After CPI changed by 0.461475% on 2021-07-01, gold moved 1.471275% over 20 trading days (UP)."
CPI_GOLD_2021-08-01,cpi_gold_v1,CPI,2021-08-01,2021-09-08,first_gold_session_on_or_after_release_timestamp,2172.5,2021-09-08T08:30:00,272.676,271.903,0.284293,inflation_pressure_up,2176.5,0.18412,UP,2186.0,0.621404,UP,2206.5,1.565017,UP,20,"After CPI changed by 0.284293% on 2021-08-01, gold moved 1.565017% over 20 trading days (UP)."
CPI_GOLD_2021-09-01,cpi_gold_v1,CPI,2021-09-01,2021-10-13,first_gold_session_on_or_after_release_timestamp,2209.5,2021-10-13T08:30:00,273.91,272.676,0.452552,inflation_pressure_up,2212.5,0.135777,UP,2218.5,0.407332,UP,2244.0,1.561439,UP,20,"After CPI changed by 0.452552% on 2021-09-01, gold moved 1.561439% over 20 trading days (UP)."
CPI_GOLD_2021-10-01,cpi_gold_v1,CPI,2021-10-01,2021-11-10,first_gold_session_on_or_after_release_timestamp,2244.0,2021-11-10T08:30:00,276.55,273.91,0.96382,inflation_pressure_up,2246.5,0.111408,UP,2256.5,0.557041,UP,2289.0,2.005348,UP,20,"After CPI changed by 0.96382% on 2021-10-01, gold moved 2.005348% over 20 trading days (UP)."
CPI_GOLD_2021-11-01,cpi_gold_v1,CPI,2021-11-01,2021-12-08,first_gold_session_on_or_after_release_timestamp,2289.0,2021-12-08T08:30:00,278.919,276.55,0.856626,inflation_pressure_up,2291.0,0.087374,FLAT,2294.0,0.218436,UP,2316.0,1.179554,UP,20,"After CPI changed by 0.856626% on 2021-11-01, gold moved 1.179554% over 20 trading days (UP)."
CPI_GOLD_2021-12-01,cpi_gold_v1,CPI,2021-12-01,2022-01-12,first_gold_session_on_or_after_release_timestamp,2326.0,2022-01-12T08:30:00,280.845,278.919,0.690523,inflation_pressure_up,2328.0,0.085985,FLAT,2333.5,0.322442,UP,2353.0,1.160791,UP,20,"After CPI changed by 0.690523% on 2021-12-01, gold moved 1.160791% over 20 trading days (UP)."
